date,exchange_rate
11/11/2022 00:00,467.46
11/10/2022 00:00,470.715
11/9/2022 00:00,467.96
11/8/2022 00:00,465.56
11/7/2022 00:00,465.56
11/6/2022 00:00,465.56
11/5/2022 00:00,465.56
11/4/2022 00:00,466.76
11/3/2022 00:00,466.76
11/2/2022 00:00,463.15
11/1/2022 00:00,467.76
10/31/2022 00:00,471.15
10/30/2022 00:00,471.15
10/29/2022 00:00,471.15
10/28/2022 00:00,470.52
10/27/2022 00:00,469.15
10/26/2022 00:00,472.96
10/25/2022 00:00,472.96
10/24/2022 00:00,472.96
10/23/2022 00:00,472.96
10/22/2022 00:00,472.96
10/21/2022 00:00,473.875
10/20/2022 00:00,470.775
10/19/2022 00:00,472.76
10/18/2022 00:00,474.85
10/17/2022 00:00,476.01
10/16/2022 00:00,476.01
10/15/2022 00:00,476.01
10/14/2022 00:00,478.76
10/13/2022 00:00,481.76
10/12/2022 00:00,480.25
10/11/2022 00:00,477.75
10/10/2022 00:00,474.75
10/9/2022 00:00,474.75
10/8/2022 00:00,474.75
10/7/2022 00:00,473.46
10/6/2022 00:00,471.15
10/5/2022 00:00,473.06
10/4/2022 00:00,475.86
10/3/2022 00:00,477.215
10/2/2022 00:00,477.215
10/1/2022 00:00,477.215
9/30/2022 00:00,479.075
9/29/2022 00:00,479.86
9/28/2022 00:00,480.66
9/27/2022 00:00,480.425
9/26/2022 00:00,481.85
9/25/2022 00:00,481.85
9/24/2022 00:00,481.85
9/23/2022 00:00,482.165
9/22/2022 00:00,482.545
9/21/2022 00:00,480.36
9/20/2022 00:00,479.615
9/19/2022 00:00,478.46
9/18/2022 00:00,478.46
9/17/2022 00:00,478.46
9/16/2022 00:00,478.36
9/15/2022 00:00,476.09
9/14/2022 00:00,474.465
9/13/2022 00:00,474.36
9/12/2022 00:00,473.265
9/11/2022 00:00,473.265
9/10/2022 00:00,473.265
9/9/2022 00:00,475.86
9/8/2022 00:00,479.86
9/7/2022 00:00,475.26
9/6/2022 00:00,473.75
9/5/2022 00:00,473.86
9/4/2022 00:00,473.86
9/3/2022 00:00,473.86
9/2/2022 00:00,473.25
9/1/2022 00:00,473.05
8/31/2022 00:00,473.66
8/30/2022 00:00,473.66
8/29/2022 00:00,473.66
8/28/2022 00:00,473.66
8/27/2022 00:00,473.66
8/26/2022 00:00,476.06
8/25/2022 00:00,467.86
8/24/2022 00:00,466.16
8/23/2022 00:00,473.86
8/22/2022 00:00,476.71
8/21/2022 00:00,476.71
8/20/2022 00:00,476.71
8/19/2022 00:00,477.05
8/18/2022 00:00,476.765
8/17/2022 00:00,477.77
8/16/2022 00:00,477.06
8/15/2022 00:00,478.625
8/14/2022 00:00,478.625
8/13/2022 00:00,478.625
8/12/2022 00:00,477.625
8/11/2022 00:00,478.56
8/10/2022 00:00,480.86
